CustomerID ,Max Order Date,Count Order ID,AVG sales,Recency,Frequency,Monetary
AA-10315,43280,11,505.7781818,2,4,9
AA-10375,43445,15,70.426,8,6,1
AA-10480,43205,12,149.2093333,1,5,3
AA-10645,43409,18,282.6075,5,8,7
AB-10015,43049,6,147.6926667,0,1,3
AB-10060,43410,18,430.8677778,5,8,9
AB-10105,43423,20,723.67855,6,8,9
AB-10150,43423,12,80.55916667,6,5,1
AB-10165,43439,14,79.55985714,8,6,1
AB-10255,43298,14,65.32371429,2,6,0
AB-10600,43414,8,189.48275,6,2,5
AC-10420,43232,5,185.16,1,0,5
AC-10450,43453,9,614.2051111,9,2,9
AC-10615,43458,18,140.9825556,9,8,3
AC-10660,43182,6,109.5526667,1,1,2
AD-10180,43435,12,508.9066667,7,5,9
AF-10870,43423,16,128.30675,6,7,3
AF-10885,43049,7,123.0807143,0,1,2
AG-10270,43186,14,184.4927143,1,6,5
AG-10300,43346,5,73.5096,3,0,1
AG-10330,43456,9,73.44133333,9,2,1
AG-10390,43350,8,25.118125,3,2,0
AG-10495,43386,14,101.3747857,4,6,1
AG-10525,42620,9,161.6708889,0,2,4
AG-10675,43367,15,232.60264,4,6,6
AG-10765,43387,5,34.1168,4,0,0
AG-10900,43368,21,214.7998571,4,8,6
AH-10030,43452,11,158.6090909,8,4,4
AH-10075,43430,20,162.51685,7,8,4
AH-10120,43404,16,108.469625,5,7,2
AH-10195,43409,8,198.4315,5,2,5
AH-10210,43458,13,369.6418462,9,5,8
AH-10465,43234,8,311.92395,1,2,7
AH-10585,43443,5,147.7008,8,0,3
AH-10690,43054,23,342.9693043,0,9,8
AI-10855,43451,18,243.0992222,8,8,6
AJ-10780,43389,15,324.4896,5,6,8
AJ-10795,43298,21,214.3519524,2,8,6
AJ-10945,43343,9,203.3217778,3,2,5
AJ-10960,43390,5,125.8496,5,0,2
AM-10360,43436,12,67.83433333,7,5,0
AM-10705,43302,22,257.4555455,2,9,7
AO-10810,42963,1,161.28,0,0,4
AP-10720,43423,10,54.5932,6,3,0
AP-10915,43366,31,107.2114839,4,9,2
AR-10345,43353,5,211.1388,3,0,5
AR-10405,43339,7,319.4468571,3,1,8
AR-10510,43450,7,37.83771429,8,1,0
AR-10540,43458,9,734.272,9,2,9
AR-10570,42930,2,44.075,0,0,0
AR-10825,43406,13,347.9489231,5,5,8
AS-10045,43376,10,305.0692,4,3,7
AS-10090,43436,25,130.2124,7,9,3
AS-10135,43423,3,19.60666667,6,0,0
AS-10225,43442,13,327.7526154,8,5,8
AS-10240,43272,10,50.3968,2,3,0
AS-10285,43445,8,401.7795,8,2,8
AS-10630,43372,12,69.44983333,4,5,1
AT-10435,43443,8,145.759,8,2,3
AT-10735,43451,16,239.4915,8,7,6
AW-10840,43444,8,81.172,8,2,1
AW-10930,43418,16,178.3105,6,7,4
AY-10555,43450,10,49.7014,8,3,0
AZ-10750,43304,12,135.1681667,2,5,3
BB-10990,43359,8,93.0425,3,2,1
BB-11545,43436,20,338.2864,7,8,8
BC-11125,43262,18,162.982,2,8,4
BD-11320,43431,19,300.9747895,7,8,7
BD-11500,43429,10,441.1243,7,3,9
BD-11560,43186,4,80.135,1,0,1
BD-11605,43367,15,185.5459333,4,6,5
BD-11620,43395,8,192.26375,5,2,5
BD-11635,43455,5,116.5292,9,0,2
BD-11725,43371,10,152.65,4,3,3
BD-11770,43137,10,65.8466,1,3,0
BE-11335,43345,9,467.1862222,3,2,9
BE-11410,43366,5,452.2876,4,0,9
